Location,Time,PM2.5,PM10,CO,CO2,SO2,NO2,O3,AQI,AQI Bucket
Hadapsar,08:00,105.4006145,190.8956517,11.50361584,335.7429599,286.7999693,81.91256429,203.6201429,445.8180872,Hazardous
Pimple Saudagar,20:00,170.4843219,296.6555914,12.93606082,460.9625341,226.4891258,156.2299026,364.8289028,620.2799831,Hazardous
Hadapsar,20:00,54.61602426,254.5731727,13.1114866,410.8379478,48.75182957,279.11719,302.2927124,482.7869511,Hazardous
Hadapsar,08:00,240.7425902,320.6129923,10.19469948,318.7989957,359.5706354,233.2498742,269.1167242,721.8411076,Hazardous
Sinhagad Road,08:00,11.72421788,70.46791495,12.38178791,467.9178909,366.8125815,334.9269063,241.1735367,524.9343666,Hazardous
Sinhagad Road,08:00,125.286183,101.4686596,13.49196982,430.0166451,138.9400367,284.1582105,294.3437139,485.5903717,Hazardous
Aundh,08:00,40.0251351,193.8686949,12.56190311,420.9764578,319.1195695,72.73550621,246.6376564,448.7551842,Hazardous
Shivaji Nagar,12:00,210.5851019,278.160919,11.74244255,349.2135064,192.2011463,100.0923792,107.6789412,456.1016864,Hazardous
Hadapsar,08:00,25.09637831,24.96259437,11.01364033,314.371071,195.5207459,257.0000915,260.5152811,392.5611859,Hazardous
Aundh,16:00,87.59008306,21.06919628,14.85383772,443.7394314,230.0717441,388.5251571,39.68424496,398.3240505,Hazardous
Aundh,20:00,109.3950256,84.09952635,13.40000613,398.292323,156.4846747,373.0976094,311.5958881,530.7363683,Hazardous
Kothrud,12:00,142.0060211,68.24463028,11.58251988,404.3082004,351.3632323,15.77110289,305.1713925,452.8607094,Hazardous
Hadapsar,12:00,48.52725975,218.5403754,11.44637495,381.9639016,45.13606407,160.6958368,168.1424611,331.9673735,Hazardous
Aundh,20:00,84.45120424,354.6203132,12.56127497,388.916074,220.8123783,199.8325075,52.75795648,468.7984548,Hazardous
Koregaon Park,12:00,21.76870357,195.2552165,11.72979281,384.0912696,267.5593775,301.2180781,304.4304415,556.8457014,Hazardous
Shivaji Nagar,12:00,211.2093022,79.36885578,11.8685867,463.8570922,297.2185497,301.3569507,100.555727,506.7232794,Hazardous
Aundh,16:00,174.2308061,112.8539602,14.47099832,426.8703447,146.4319242,66.42467098,91.43241127,310.1578847,Hazardous
Koregaon Park,20:00,194.3297124,13.44212194,13.85340302,490.5116045,109.9747522,185.193183,242.1467843,386.3966799,Hazardous
Kothrud,16:00,236.5315638,336.6440188,11.13990545,303.5189976,170.6716701,316.8091686,10.19785009,546.5670411,Hazardous
Baner,16:00,241.8085368,233.1246696,14.37140819,427.2448602,187.5297325,215.3151616,256.7823619,581.6516394,Hazardous
Aundh,20:00,114.507868,70.97235681,12.03576209,431.9181436,231.0234373,139.8144465,112.8661675,346.6279002,Hazardous
Sinhagad Road,20:00,230.9284248,50.25311132,12.06298087,398.1554955,14.8365624,319.6685414,143.8827012,391.8476514,Hazardous
